,artist.inverted,track,weeks on charts
0,Destiny's Child,Independent Women Part I,28
1,Santana,"Maria, Maria",26
2,Savage Garden,I Knew I Loved You,33
3,Madonna,Music,24
4,"Aguilera, Christina",Come On Over Baby (All I Want Is You),21
5,Janet,Doesn't Really Matter,24
6,Destiny's Child,Say My Name,32
7,"Iglesias, Enrique",Be With You,20
8,Sisqo,Incomplete,26
9,Lonestar,Amazed,55
10,N'Sync,It's Gonna Be Me,25
11,"Aguilera, Christina",What A Girl Wants,24
12,Vertical Horizon,Everything You Want,41
13,Creed,With Arms Wide Open,47
14,Aaliyah,Try Again,32
15,matchbox twenty,Bent,39
16,"Carey, Mariah",Thank God I Found You,20
17,"Hill, Faith",Breathe,53
18,Mya,Case Of The Ex (Whatcha Gonna Do),30
19,Dream,He Loves U Not,28
20,"Braxton, Toni",He Wasn't Man Enough,37
21,"Anthony, Marc",You Sang To Me,32
22,98,Give Me Just One Night (Una Noche),20
23,Destiny's Child,Jumpin' Jumpin',32
24,3 Doors Down,Kryptonite,53
25,Sisqo,Thong Song,28
26,"Aguilera, Christina",I Turn To You,22
27,"Houston, Whitney",My Love Is Your Love,28
28,Joe,I Wanna Know,44
29,"Jordan, Montell",Get It On.. Tonite,32
30,N'Sync,Bye Bye Bye,23
31,Eminem,The Real Slim Shady,19
32,Pink,Most Girls,27
33,"Mumba, Samantha",Gotta Tell You,22
34,Blaque,Bring It All To Me,29
35,"Elliott, Missy ""Misdemeanor""",Hot Boyz,21
36,"Gray, Macy",I Try,27
37,N'Sync,This I Promise You,26
38,Ruff Endz,No More,26
39,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,24
40,Nine Days,Absolutely (Story Of A Girl),27
41,"Dion, Celine",That's The Way It Is,28
42,Blink-182,All The Small Things,23
43,Eiffel 65,Blue (Da Ba Dee),20
44,"Badu, Erkyah",Bag Lady,20
45,Pink,There U Go,32
46,Creed,Higher,57
47,Nelly,(Hot S**t) Country Grammar,34
48,Next,Wifey,21
49,Kenny G,Auld Lang Syne (The Millenium Mix),5
50,Sonique,It Feels So Good,24
51,"Spears, Britney",Oops!.. I Did It Again,20
52,"Backstreet Boys, The",Shape Of My Heart,20
53,Everclear,Wonderful,21
54,Ja Rule,Between Me And You,20
55,"Rimes, LeAnn",I Need You,25
56,Smash Mouth,Then The Morning Comes,26
57,Jay-Z,I Just Wanna Love U (Give It 2 Me),21
58,Jagged Edge,Let's Get Married,24
59,Filter,Take A Picture,20
60,"Martin, Ricky",She Bangs,18
61,Mystikal,Shake Ya Ass,20
62,BBMak,Back Here,31
63,"Spears, Britney",From The Bottom Of My Broken Heart,20
64,Third Eye Blind,Never Let You Go,22
65,Red Hot Chili Peppers,Otherside,22
66,Profyle,Liar,20
67,Barenaked Ladies,Pinch Me,21
68,Jagged Edge,He Can't Love U,20
69,504 Boyz,Wobble Wobble,18
70,Sting,Desert Rose,26
71,Jay-Z,Big Pimpin',20
72,Kid Rock,Only God Knows Why,20
73,Foo Fighters,Learn To Fly,21
74,"Dixie Chicks, The",Goodbye Earl,15
75,Guy,Dancin',11
76,Lil Bow Wow,Bounce With Me,20
77,Westlife,Swear It Again,20
78,Train,Meet Virginia,27
79,"Thomas, Carl",I Wish,20
80,Hanson,This Time Around,7
81,"Simpson, Jessica",I Think I'm In Love With You,16
82,Ludacris,What's Your Fantasy,22
83,Lil' Zane,Callin' Me,13
84,M2M,Don't Say You Love Me,12
85,SoulDecision,Faded,24
86,"Brock, Chad",Yes!,20
87,"Martin, Ricky",Shake Your Bon-Bon,18
88,Vertical Horizon,You're A God,21
89,Avant,Separated,20
90,"Rimes, LeAnn",Big Deal,20
91,IMx,Stay The Night,20
92,Dr. Dre,The Next Episode,20
93,"Spears, Britney",Lucky,11
94,Savage Garden,Crash And Burn,20
95,Kandi,Don't Think I'm Not,24
96,Sammie,I Like It,20
97,Goo Goo Dolls,Broadway,20
98,"Moore, Mandy",I Wanna Be With You,23
99,Dr. Dre,Forgot About Dre,20
100,D'Angelo,Untitled (How Does It Feel),17
101,"Messina, Jo Dee",That's The Way,20
102,Avant,My First Love,20
103,Son By Four,A Puro Dolor (Purest Of Pain),26
104,Da Brat,What'Chu Like,20
105,DMX,Party Up (Up In Here),21
106,"Dixie Chicks, The",Cowboy Take Me Away,20
107,"McGraw, Tim",My Next Thirty Years,20
108,"Tritt, Travis",Best Of Intentions,22
109,Alice Deejay,Better Off Alone,20
110,Hoku,Another Dumb Blonde,14
111,"Houston, Whitney",I Learned From The Best,11
112,Counting Crows,Hanginaround,20
113,Mary Mary,Shackles (Praise You),20
114,"Carey, Mariah",Crybaby,7
115,"McGraw, Tim",My Best Friend,21
116,Sugar Ray,Falls Apart,20
117,Madonna,American Pie,9
118,"Jones, Donell",Where I Wanna Be,20
119,"Paisley, Brad",We Danced,20
120,Lonestar,What About Now,20
121,"Backstreet Boys, The",The One,15
122,"Keith, Toby",How Do You Like Me Now?!,20
123,"Strait, George",The Best Day,20
124,"Dixie Chicks, The",Without You,20
125,Musiq,Just Friends (Sunny),20
126,"McEntire, Reba",What Do You Say,20
127,"Braxton, Toni",Just Be A Man About It,20
128,"Iglesias, Enrique",Rhythm Divine,17
129,"Fabian, Lara",I Will Love Again,17
130,Bon Jovi,It's My Life,20
131,"Evans, Sara",Born To Fly,20
132,"Chesney, Kenny",I Lost It,20
133,J-Shin,One Night Stand,17
134,Eve,Love Is Blind,16
135,Aaliyah,I Don't Wanna,20
136,"Montgomery, John Michael",The Little Girl,20
137,"Carter, Aaron",Aaron's Party (Come Get It),15
138,"Vassar, Phil",Just Another Day In Paradise,20
139,Ice Cube,You Can Do It,12
140,"Wills, Mark",Back At One,18
141,Lucy Pearl,Dance Tonight,19
142,"Jackson, Alan",It Must Be Love,20
143,"Griggs, Andy",She's More,20
144,No Doubt,Simple Kind Of Life,13
145,"Jean, Wyclef",911,19
146,Rascal Flatts,Prayin' For Daylight,20
147,Vitamin C,Graduation (Friends Forever),12
148,"Gilman, Billy",One Voice,19
149,Lonestar,Smile,20
150,"Rogers, Kenny",Buy Me A Rose,20
151,"Lawrence, Tracy",Lessons Learned,20
152,"Strait, George",Go On,20
153,Sisqo,Got To Get It,20
154,Baha Men,Who Let The Dogs Out,20
155,"Walker, Clay",The Chain Of Love,20
156,"McBride, Martina",Love's The Only House,20
157,Amber,Sexual (Li Da Di),29
158,"Tippin, Aaron",Kiss This,20
159,SheDaisy,I Will.. But,20
160,"Raye, Collin",Couldn't Last A Moment,20
161,Black Rob,Whoa!,17
162,"Jackson, Alan",Pop A Top,17
163,"Black, Clint",Been There,20
164,Common,The Light,19
165,"Vassar, Phil",Carlene,19
166,"Jackson, Alan",www.memory,15
167,Vitamin C,The Itch,9
168,"Eastsidaz, The",G'D Up,14
169,Ideal,Whatever,18
170,"Thomas, Carl",Emotional,20
171,Ginuwine,None Of Ur Friends Business,15
172,"Davidson, Clay",Unconditional,20
173,DMX,What You Want,20
174,"John, Elton",Someday Out Of The Blue,15
175,Pearl Jam,Nothing As It Seems,6
176,Mya,The Best Of Me,17
177,"Heatherly, Eric",Flowers On The Wall,20
178,Eminem,Stan,15
179,"McEntire, Reba",I'll Be,20
180,"Lopez, Jennifer",Feelin' Good,17
181,"Urban, Keith",Your Everything,16
182,TLC,Dear Lie,7
183,"Gill, Vince",Feels Like Love,20
184,"Houston, Whitney",Could I Have This Kiss Forever,19
185,Bloodhound Gang,The Bad Touch,12
186,"Williams, Robbie",Angels,19
187,"Messina, Jo Dee",Because You Love Me,13
188,"Keith, Toby",Country Comes To Town,15
189,Beenie Man,Girls Dem Sugar,15
190,"Hill, Faith",Let's Make Love,14
191,Kelis,Caught Out There,12
192,Jay-Z,Anything,8
193,3 Doors Down,Loser,20
194,Brooks & Dunn,You'll Always Be Loved By Me,19
195,"Chesney, Kenny",What I Need To Do,17
196,"Stone, Angie",No More Rain (In This Cloud),17
197,Da Brat,That's What I'm Looking For,18
198,SheDaisy,This Woman Needs,9
199,Papa Roach,Last Resort,20
200,"Adams, Yolanda",Open My Heart,20
201,Shyne,Bad Boyz,15
202,R.E.M.,The Great Beyond,14
203,"Diffie, Joe",It's Always Somethin',14
204,"McGraw, Tim",Some Things Never Change,14
205,"Henley, Don",Taking You Home,20
206,Eminem,The Way I Am,10
207,Nas,You Owe Me,16
208,Sister Hazel,Change Your Mind,20
209,Puff Daddy,Best Friend,5
210,"McBride, Martina",There You Are,13
211,Usher,Pop Ya Collar,7
212,Lil' Kim,No Matter What They Say,10
213,LFO,I Don't Wanna Kiss You Goodnight,5
214,SheDaisy,Deck The Halls,2
215,Splender,I Think God Can Explain,12
216,"Simpson, Jessica",Where You Are,6
217,M2M,Mirror Mirror,18
218,Kumbia Kings,U Don't Love Me,10
219,Joe,Treat Her Like A Lady,17
220,"Blige, Mary J.",Deep Inside,15
221,"Price, Kelly",You Should've Told Me,20
222,Changing Faces,That Other Woman,11
223,"Wright, Chely",It Was,10
224,Limp Bizkit,Rollin',17
225,Hot Boys,I Need A Hot Girl,13
226,Jay-Z,Do It Again (Put Ya Hands Up),9
227,"Adkins, Trace",More,11
228,"Dixie Chicks, The",Cold Day In July,10
229,"Price, Kelly",As We Lay,8
230,DMX,What's My Name,11
231,"Martin, Ricky",Private Emotion,5
232,Nine Days,If I Am,5
233,"Blige, Mary J.",Give Me You,9
234,Red Hot Chili Peppers,Californication,19
235,Third Eye Blind,Deep Inside Of You,12
236,"Brooks, Garth",Do What You Gotta Do,6
237,"Offspring, The",Original Prankster,9
238,"Anthony, Marc",My Baby You,20
239,"Houston, Whitney","Same Script, Different Cast",9
240,D'Angelo,Left & Right,5
241,"Kravitz, Lenny",I Belong To You,9
242,"Loveless, Patty",That's The Kind Of Mood I'm In,14
243,Q-Tip,Breathe And Stop,5
244,"Rimes, LeAnn",Can't Fight The Moonlight,20
245,Lil Wayne,Tha Block Is Hot,11
246,2 Pac,Baby Don't Cry (Keep Ya Head Up II),7
247,"Wallflowers, The",Sleepwalker,6
248,Drama,"Left, Right, Left",13
249,Limp Bizkit,N 2 Gether Now,11
250,Lox,"Ryde or Die, Chick",7
251,Ying Yang Twins,Whistle While You Twurk,14
252,"Walker, Clay","Live, Laugh, Love",11
253,Metallica,No Leaf Clover (Live),10
254,Yankee Grey,Another Nine Minutes,8
255,"Bega, Lou",Tricky Tricky ,3
256,Big Punisher,It's So Hard,15
257,"Worley, Darryl",When You Need My Love,15
258,Lil' Kim,How Many Licks?,9
259,"Clark, Terri",A Little Gasoline,6
260,"Brock, Chad",A Country Boy Can Survive,3
261,"Cagle, Chris",My Love Goes On And On,11
262,"Byrd, Tracy",Put Your Hand In Mine,8
263,Metallica,I Disappear,20
264,Jay-Z,Hey Papi,15
265,Fatboy Slim,The Rockafeller Skank,12
266,"Levert, Gerald",Mr. Too Damn Good,8
267,"McKnight, Brian",Stay Or Let It Go,8
268,"Allan, Gary",Smoke Rings In The Dark,5
269,Ginuwine,The Best Man I Can Be,12
270,Before Dark,Monica,9
271,"Estefan, Gloria",No Me Dejes De Querer,1
272,Stone Temple Pilots,Sour Girl,13
273,Montgomery Gentry,Daddy Won't Sell The Farm,6
274,"Cyrus, Billy Ray",You Won't Be Lonely Now,13
275,Clark Family Experience,Meanwhile Back At The Ranch,12
276,"Thomas, Carl",Summer Rain,11
277,"Yearwood, Trisha",Real Live Woman,6
278,Trick Daddy,Shut Up,11
279,"Moore, Chante",Straight Up,9
280,Cam'ron,What Means The World To You,10
281,Juvenile,U Understand,6
282,"Hollister, Dave",Can't Stay,4
283,Tamia,Can't Go For That,5
284,LFO,West Side Story,4
285,"Paisley, Brad",Me Neither,4
286,"Carter, Torrey",Take That,7
287,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3
288,Madison Avenue,Don't Call Me Baby,20
289,Eve,Got It All,5
290,Limp Bizkit,Re-Arranged,18
291,"Spencer, Tracie",Still In My Heart,3
292,Nu Flavor,3 Little Words,9
293,Tamar,If You Don't Wanna Love Me,6
294,"Levert, Gerald",Baby U Are,5
295,"Hart, Beth",L.A. Song,12
296,"Diffie, Joe",The Quittin' Kind,6
297,Funkmaster Flex,Do You,7
298,"Price, Kelly",Love Sets You Free,4
299,En Vogue,Riddle,4
300,"Herndon, Ty",No Mercy,8
301,Anastacia,I'm Outta Love,3
302,Trina,Pull Over,4
303,Lil' Mo,Ta Da,7
304,A*Teens,Dancing Queen,5
305,"Sheist, Shade",Where I Wanna Be,5
306,De La Soul,All Good?,3
307,"Larrieux, Amel",Get Up,3
308,"Braxton, Toni",Spanish Guitar,3
309,Tuesday,I Know,2
310,LL Cool J,Imagine That,2
311,Master P,Souljas,1
312,Ghostface Killah,Cherchez LaGhost,1
313,"Smith, Will",Freakin' It,4
314,Zombie Nation,Kernkraft 400,2
315,"Eastsidaz, The",Got Beef,2
